shared name	BHI_2011_EGDe[RNASeq]	BHI_2014_EGDe[RNASeq]	BHI_Long_2014_EGDe[RNASeq]	BHI_Medium_2014_EGDe[RNASeq]	BHI_Short_2014_EGDe[RNASeq]	High_10_Plantarum_Pediocin_2014[RNASeq]	High_180_Plantarum_Pediocin_2014[RNASeq]	High_60_Plantarum_Pediocin_2014[RNASeq]	High_60_Proteinase_Plantarum_Pediocin_2014[RNASeq]	LB_2014_EGDe[RNASeq]	LB_B12_2014_EGDe[RNASeq]	LB_B12_EA_2014_EGDe[RNASeq]	LB_EA_2014_EGDe[RNASeq]	Lmo0753_Rhamnose_2013_EGDe[RNASeq]	Macrophages_2011_EGDe[RNASeq]	Macrophages_2014_EGDe[RNASeq]	Macrophages_Long_2014_EGDe[RNASeq]	Macrophages_Medium_2014_EGDe[RNASeq]	Macrophages_Short_2014_EGDe[RNASeq]	Mid_180_Plantarum_Pediocin_2014[RNASeq]	Mid_60_Plantarum_Pediocin_2014[RNASeq]	WT_2012_EGDe[RNASeq]
lmo0686	0	-2.69921405	-3.801067714	-0.812802243	-0.270994037	-3.960568935	-2.842008986	-4.807208011	-4.103063722	-3.131825279	-2.668372848	-2.287771773	-3.562733316	-0.092340292	-4.240179951	-3.230677725	-3.318447526	-0.93789936	-0.565486381	-2.838510776	-4.695830327	-2.586081711
lmo0687	0	-3.559356386	-3.398175645	-1.152112416	-0.984294985	-3.518485339	-2.139547233	-4.422834143	-3.776226261	-2.677652705	-3.061389174	-3.06071587	-3.715922627	-1.052596505	-4.240179951	-4.313212483	-0.593627362	-1.316172689	-1.270654057	-2.838510776	-4.01918437	-2.586081711
lmo0688	0	-2.651762453	-2.688027776	-2.375327354	-1.624272103	-3.552862293	-1.528186756	-4.107625225	-3.875998983	-2.888201231	-2.794798845	-3.187069269	-3.051729392	-1.482915796	-4.240179951	-4.246920804	-3.527335683	-1.146787517	-0.990583088	-2.838510776	-3.549659896	-2.586081711
lmo0689	3.824778202	-3.544356959	-4.257645336	-1.044748971	-0.867223649	-3.499485221	-1.875543355	-4.138934454	-3.770963901	-2.786481864	-2.98359462	-3.183219967	-3.140989494	-1.018880931	-4.240179951	-2.713250555	-1.453097053	-1.471098263	-0.942496745	-2.838510776	-3.990847964	-3.507213529
lmo0690	0	-1.504274841	-2.096933512	-1.227839742	-0.420931256	-2.425608969	-0.691640508	-2.691863019	-2.930105251	-3.797297147	-3.942767116	-2.287771773	-4.252165083	-0.916537998	-0.196980211	0.682707342	1.790076931	-0.447889964	-0.978872254	-1.960237767	-2.361343237	-0.420158747
lmo0691	0	-2.208073571	-3.921361948	-2.327375415	-2.654322676	-2.6647763	-3.078153236	-3.546859243	-3.214474267	-3.233508482	-3.610626295	-2.287771773	-3.442556334	0.555924924	1.066054194	-2.814560565	1.053111336	0.160641008	-0.349055518	-2.838510776	-3.522991267	-2.586081711
lmo0692	0	-2.390554004	-2.966338857	-1.594744745	-1.258726994	-3.734473995	-2.772091792	-4.138992271	-3.878299628	-3.233508482	-3.610626295	-2.287771773	-3.442556334	-0.96599185	-1.300850809	-1.84359593	0.423171927	-0.406562646	-0.417781029	-2.838510776	-4.326577043	-2.586081711
lmo0693	0	-3.404470784	-4.658327542	-0.964805336	-1.111180351	-3.232324556	-3.421647817	-3.445467718	-3.451900453	-3.233508482	-3.610626295	-2.287771773	-3.442556334	-0.222281297	-4.240179951	-2.57336438	0.731183242	-0.201929071	-0.700730956	-2.838510776	-3.475287339	-2.586081711
lmo0694	0	-2.536718582	-2.79057534	-1.518516903	-0.226554331	-3.271124488	-2.772091792	-4.154579157	-3.811063055	-4.121332905	-4.522950894	-2.287771773	-3.442556334	-1.576797932	-4.240179951	-3.027540273	-0.722992652	-0.69792514	-0.695475231	-2.838510776	-3.611378413	-2.586081711
lmo0695	0	-2.25350151	-4.139626484	-1.426995455	-0.575605474	-3.746968459	-2.772091792	-4.380683719	-4.127527504	-3.233508482	-4.469903594	-2.287771773	-3.442556334	-1.15482551	-0.474138436	-3.939715696	-0.335078201	-0.112071312	-0.052746881	-2.838510776	-3.667631893	-2.586081711
